Name,English,Year,English for search,Netizen,Special
크로니클,Chronicle,2012,Chronicle_2012,7.60,6.67
토르: 마법망치의 전설,Legends Of Valhalla - THOR,2011,Legends Of Valhalla - THOR_2011,5.65,4.00
퍼펙트 게임,Perfect Game,2011,Perfect Game_2011,8.94,6.78
백설공주,Snow white : The mysterious father,2015,Snow white : The mysterious father_2015,7.41,0.00
두 개의 달,Two Lunes,2015,Two Lunes_2015,0.00,0.00
마이 웨이,My Way,2014,My Way_2014,10.00,0.00
링컨: 뱀파이어 헌터,Abraham Lincoln: Vampire Hunter,2012,Abraham Lincoln: Vampire Hunter_2012,6.79,6.00
음치 클리닉,Love Clinique,2012,Love Clinique_2012,6.91,5.08
위험한 관계,Dangerous Liaisons,2012,Dangerous Liaisons_2012,8.01,6.38
가비,Gabi,2017,Gabi_2017,0.00,0.00
밀레니엄 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,2011,The Girl With The Dragon Tattoo_2011,8.08,7.29
늑대소년-확장판,A Werewolf Boy,2012,A Werewolf Boy_2012,8.65,6.35
더 그레이,The Grey,2012,The Grey_2012,7.64,5.75
네버엔딩 스토리,Never Ending Story,2012,Never Ending Story_2012,7.42,4.50
서약,The Vow,2012,The Vow_2012,8.22,4.00
